ParkUnit,Plot,SubPlot,EventDate,CanopyType,CanopyCount
Agate Fossil Beds,AGFO51,1,Jun  5 2003,Hardwood,2
Agate Fossil Beds,AGFO51,3,Jun  5 2003,Hardwood,1
Agate Fossil Beds,AGFO51,4,Jun  8 2006,Hardwood,1
Arkansas Post,ARPO1,1,Jun  5 2007,Hardwood,9
Arkansas Post,ARPO1,1,Jun  8 2011,Hardwood,9
Arkansas Post,ARPO1,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO1,1,May 21 2019,Hardwood,5
Arkansas Post,ARPO10,1,Jun  7 2007,Hardwood,2
Arkansas Post,ARPO10,1,Jun  7 2011,Hardwood,5
Arkansas Post,ARPO10,1,May 19 2015,Hardwood,6
Arkansas Post,ARPO10,1,May 20 2019,Hardwood,6
Arkansas Post,ARPO12,1,Jun  5 2007,Hardwood,7
Arkansas Post,ARPO12,1,Jun  8 2011,Hardwood,15
Arkansas Post,ARPO12,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO12,1,May 21 2019,Hardwood,7
Arkansas Post,ARPO13,1,Jun  5 2007,Hardwood,7
Arkansas Post,ARPO13,1,Jun  8 2011,Hardwood,14
Arkansas Post,ARPO13,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO13,1,May 21 2019,Hardwood,7
Arkansas Post,ARPO14,1,Jun  6 2007,Hardwood,10
Arkansas Post,ARPO14,1,Jun  8 2011,Hardwood,10
Arkansas Post,ARPO14,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO14,1,May 21 2019,Hardwood,7
Arkansas Post,ARPO15,1,Jun  6 2007,Hardwood,3
Arkansas Post,ARPO15,1,Jun  8 2011,Hardwood,7
Arkansas Post,ARPO15,1,May 18 2015,Hardwood,3
Arkansas Post,ARPO15,1,May 21 2019,Hardwood,6
Arkansas Post,ARPO16,1,Jun  5 2007,Hardwood,16
Arkansas Post,ARPO16,1,Jun  8 2011,Hardwood,15
Arkansas Post,ARPO16,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO16,1,May 21 2019,Hardwood,11
Arkansas Post,ARPO17,1,Jun  5 2007,Hardwood,9
Arkansas Post,ARPO17,1,Jun  8 2011,Hardwood,12
Arkansas Post,ARPO17,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO17,1,May 21 2019,Hardwood,9
Arkansas Post,ARPO18,1,Jun  6 2007,Hardwood,1
Arkansas Post,ARPO18,1,Jun  8 2011,Hardwood,9
Arkansas Post,ARPO18,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO18,1,May 20 2019,Hardwood,10
Arkansas Post,ARPO19,1,Jun  6 2007,Conifer,1
Arkansas Post,ARPO19,1,Jun  6 2007,Hardwood,11
Arkansas Post,ARPO19,1,Jun  8 2011,Conifer,2
Arkansas Post,ARPO19,1,Jun  8 2011,Hardwood,11
Arkansas Post,ARPO19,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO19,1,May 21 2019,Conifer,1
Arkansas Post,ARPO19,1,May 21 2019,Hardwood,15
Arkansas Post,ARPO2,1,Jun  5 2007,Conifer,3
Arkansas Post,ARPO2,1,Jun  5 2007,Hardwood,6
Arkansas Post,ARPO2,1,Jun  8 2011,Conifer,2
Arkansas Post,ARPO2,1,Jun  8 2011,Hardwood,10
Arkansas Post,ARPO2,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO2,1,May 21 2019,Conifer,2
Arkansas Post,ARPO2,1,May 21 2019,Hardwood,8
Arkansas Post,ARPO20,1,Jun  6 2007,Hardwood,5
Arkansas Post,ARPO20,1,Jun  8 2011,Hardwood,9
Arkansas Post,ARPO20,1,May 18 2015,Hardwood,5
Arkansas Post,ARPO20,1,May 21 2019,Hardwood,6
Arkansas Post,ARPO21,1,May 18 2015,Hardwood,3
Arkansas Post,ARPO21,1,May 20 2019,Hardwood,3
Arkansas Post,ARPO22,1,Jun  5 2007,Hardwood,8
Arkansas Post,ARPO22,1,Jun  8 2011,Conifer,4
Arkansas Post,ARPO22,1,Jun  8 2011,Hardwood,7
Arkansas Post,ARPO22,1,May 18 2015,Conifer,3
Arkansas Post,ARPO22,1,May 18 2015,Hardwood,4
Arkansas Post,ARPO22,1,May 21 2019,Hardwood,10
Arkansas Post,ARPO23,1,Jun  6 2007,Conifer,3
Arkansas Post,ARPO23,1,Jun  6 2007,Hardwood,8
Arkansas Post,ARPO23,1,Jun  8 2011,Conifer,7
Arkansas Post,ARPO23,1,Jun  8 2011,Hardwood,5
Arkansas Post,ARPO23,1,May 18 2015,Conifer,3
Arkansas Post,ARPO23,1,May 18 2015,Hardwood,1
Arkansas Post,ARPO23,1,May 20 2019,Conifer,6
Arkansas Post,ARPO23,1,May 20 2019,Hardwood,3
Arkansas Post,ARPO24,1,Jun  5 2007,Hardwood,6
Arkansas Post,ARPO24,1,Jun  8 2011,Hardwood,8
Arkansas Post,ARPO24,1,May 18 2015,Hardwood,8
Arkansas Post,ARPO24,1,May 21 2019,Hardwood,10
Arkansas Post,ARPO25,1,Jun  6 2007,Hardwood,3
Arkansas Post,ARPO25,1,Jun  8 2011,Conifer,2
Arkansas Post,ARPO25,1,Jun  8 2011,Hardwood,4
Arkansas Post,ARPO25,1,May 18 2015,Hardwood,2
Arkansas Post,ARPO25,1,May 20 2019,Hardwood,5
Arkansas Post,ARPO26,1,Jun  5 2007,Hardwood,3
Arkansas Post,ARPO26,1,Jun  7 2011,Conifer,2
Arkansas Post,ARPO26,1,Jun  7 2011,Hardwood,3
Arkansas Post,ARPO26,1,May 18 2015,Conifer,1
Arkansas Post,ARPO26,1,May 18 2015,Hardwood,2
Arkansas Post,ARPO26,1,May 20 2019,Hardwood,3
Arkansas Post,ARPO27,1,Jun  5 2007,Hardwood,11
Arkansas Post,ARPO27,1,Jun  7 2011,Hardwood,13
Arkansas Post,ARPO27,1,May 18 2015,Hardwood,6
Arkansas Post,ARPO27,1,May 20 2019,Hardwood,10
Arkansas Post,ARPO28,1,Jun  7 2007,Hardwood,7
Arkansas Post,ARPO28,1,May 19 2015,Hardwood,7
Arkansas Post,ARPO3,1,Jun  5 2007,Hardwood,11
Arkansas Post,ARPO3,1,Jun  8 2011,Hardwood,6
Arkansas Post,ARPO3,1,May 18 2015,Hardwood,3
Arkansas Post,ARPO3,1,May 21 2019,Hardwood,9
Arkansas Post,ARPO30,1,Jun  7 2007,Hardwood,11
Arkansas Post,ARPO30,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO30,1,May 19 2015,Hardwood,10
Arkansas Post,ARPO30,1,May 20 2019,Hardwood,11
Arkansas Post,ARPO36,1,Jun  6 2007,Conifer,1
Arkansas Post,ARPO36,1,Jun  6 2007,Hardwood,16
Arkansas Post,ARPO36,1,May 19 2015,Hardwood,12
Arkansas Post,ARPO4,1,Jun  5 2007,Hardwood,2
Arkansas Post,ARPO4,1,Jun  8 2011,Hardwood,5
Arkansas Post,ARPO4,1,May 18 2015,Hardwood,5
Arkansas Post,ARPO4,1,May 21 2019,Hardwood,10
Arkansas Post,ARPO5,1,Jun  5 2007,Hardwood,8
Arkansas Post,ARPO5,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO5,1,May 18 2015,Hardwood,7
Arkansas Post,ARPO5,1,May 21 2019,Hardwood,13
Arkansas Post,ARPO7,1,Jun  7 2007,Hardwood,14
Arkansas Post,ARPO7,1,Jun  7 2011,Hardwood,16
Arkansas Post,ARPO7,1,May 19 2015,Hardwood,10
Arkansas Post,ARPO7,1,May 20 2019,Hardwood,13
Arkansas Post,ARPO9,1,Jun  7 2007,Hardwood,9
Arkansas Post,ARPO9,1,Jun  7 2011,Hardwood,11
Arkansas Post,ARPO9,1,May 19 2015,Hardwood,7
Arkansas Post,ARPO9,1,May 20 2019,Hardwood,13
Effigy Mounds,EFMO1,0,May 24 2017,Hardwood,7
Effigy Mounds,EFMO1,0,May 24 2017,Total,7
Effigy Mounds,EFMO1,1,May 25 2022,Hardwood,4
Effigy Mounds,EFMO1,1,May 29 2013,Hardwood,9
Effigy Mounds,EFMO12,0,May 25 2017,Hardwood,7
Effigy Mounds,EFMO12,0,May 25 2017,Total,7
Effigy Mounds,EFMO12,1,Jun  1 2009,Hardwood,7
Effigy Mounds,EFMO12,1,May 26 2022,Hardwood,13
Effigy Mounds,EFMO12,1,May 31 2013,Hardwood,3
Effigy Mounds,EFMO13,1,Jun  1 2009,Hardwood,8
Effigy Mounds,EFMO14,1,May 31 2009,Hardwood,9
Effigy Mounds,EFMO15,0,May 24 2017,Hardwood,5
Effigy Mounds,EFMO15,0,May 24 2017,Total,5
Effigy Mounds,EFMO15,1,May 24 2022,Hardwood,5
Effigy Mounds,EFMO15,1,May 29 2009,Hardwood,11
Effigy Mounds,EFMO16,0,May 24 2017,Hardwood,7
Effigy Mounds,EFMO16,0,May 24 2017,Total,7
Effigy Mounds,EFMO16,1,May 23 2022,Hardwood,7
Effigy Mounds,EFMO16,1,May 29 2009,Hardwood,9
Effigy Mounds,EFMO16,1,May 30 2013,Hardwood,5
Effigy Mounds,EFMO17,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO17,0,May 24 2017,Total,8
Effigy Mounds,EFMO17,1,May 25 2022,Hardwood,9
Effigy Mounds,EFMO17,1,May 29 2009,Hardwood,19
Effigy Mounds,EFMO17,1,May 30 2013,Hardwood,5
Effigy Mounds,EFMO18,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO18,0,May 24 2017,Total,8
Effigy Mounds,EFMO18,1,May 26 2022,Hardwood,8
Effigy Mounds,EFMO18,1,May 31 2009,Hardwood,6
Effigy Mounds,EFMO18,1,May 31 2013,Hardwood,2
Effigy Mounds,EFMO19,1,May 26 2022,Hardwood,5
Effigy Mounds,EFMO19,1,May 31 2009,Hardwood,4
Effigy Mounds,EFMO2,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO2,0,May 24 2017,Total,8
Effigy Mounds,EFMO2,1,May 25 2022,Hardwood,6
Effigy Mounds,EFMO2,1,May 29 2009,Hardwood,13
Effigy Mounds,EFMO2,1,May 29 2013,Hardwood,6
Effigy Mounds,EFMO22,0,May 24 2017,Hardwood,6
Effigy Mounds,EFMO22,0,May 24 2017,Total,6
Effigy Mounds,EFMO22,1,May 31 2009,Hardwood,8
Effigy Mounds,EFMO24,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO24,0,May 24 2017,Total,8
Effigy Mounds,EFMO24,1,May 25 2022,Hardwood,7
Effigy Mounds,EFMO24,1,May 29 2009,Hardwood,13
Effigy Mounds,EFMO24,1,May 30 2013,Hardwood,5
Effigy Mounds,EFMO25,0,May 24 2017,Hardwood,16
Effigy Mounds,EFMO25,0,May 24 2017,Total,16
Effigy Mounds,EFMO25,1,May 25 2022,Hardwood,16
Effigy Mounds,EFMO25,1,May 29 2009,Hardwood,12
Effigy Mounds,EFMO25,1,May 30 2013,Hardwood,6
Effigy Mounds,EFMO26,0,May 24 2017,Hardwood,9
Effigy Mounds,EFMO26,0,May 24 2017,Total,9
Effigy Mounds,EFMO26,1,May 26 2022,Hardwood,9
Effigy Mounds,EFMO26,1,May 31 2009,Hardwood,18
Effigy Mounds,EFMO26,1,May 31 2013,Hardwood,2
Effigy Mounds,EFMO27,0,May 24 2017,Hardwood,2
Effigy Mounds,EFMO27,0,May 24 2017,Total,2
Effigy Mounds,EFMO27,1,May 26 2022,Hardwood,4
Effigy Mounds,EFMO27,1,May 31 2009,Hardwood,1
Effigy Mounds,EFMO3,0,May 24 2017,Total,0
Effigy Mounds,EFMO33,0,May 24 2017,Hardwood,8
Effigy Mounds,EFMO33,0,May 24 2017,Total,8
Effigy Mounds,EFMO33,1,May 26 2022,Hardwood,18
Effigy Mounds,EFMO33,1,May 31 2009,Hardwood,7
Effigy Mounds,EFMO33,1,May 31 2013,Hardwood,7
Effigy Mounds,EFMO34,0,May 24 2017,Hardwood,14
Effigy Mounds,EFMO34,0,May 24 2017,Total,14
Effigy Mounds,EFMO34,1,May 26 2022,Hardwood,13
Effigy Mounds,EFMO34,1,May 31 2009,Hardwood,12
Effigy Mounds,EFMO37,0,May 24 2017,Hardwood,7
Effigy Mounds,EFMO37,0,May 24 2017,Total,7
Effigy Mounds,EFMO37,1,May 26 2022,Hardwood,8
Effigy Mounds,EFMO37,1,May 30 2009,Hardwood,12
Effigy Mounds,EFMO38,0,May 25 2017,Hardwood,9
Effigy Mounds,EFMO38,0,May 25 2017,Total,9
Effigy Mounds,EFMO38,1,May 24 2022,Hardwood,17
Effigy Mounds,EFMO38,1,May 30 2009,Hardwood,15
Effigy Mounds,EFMO39,0,May 23 2017,Hardwood,7
Effigy Mounds,EFMO39,0,May 23 2017,Total,7
Effigy Mounds,EFMO39,1,May 26 2022,Hardwood,10
Effigy Mounds,EFMO4,0,May 24 2017,Hardwood,11
Effigy Mounds,EFMO4,0,May 24 2017,Total,11
Effigy Mounds,EFMO4,1,Jun  1 2009,Hardwood,10
Effigy Mounds,EFMO4,1,May 26 2022,Hardwood,14
Effigy Mounds,EFMO4,1,May 31 2013,Hardwood,6
Effigy Mounds,EFMO40,0,May 23 2017,Hardwood,6
Effigy Mounds,EFMO40,0,May 23 2017,Total,6
Effigy Mounds,EFMO40,1,May 26 2022,Hardwood,6
Effigy Mounds,EFMO40,1,May 31 2009,Hardwood,5
Effigy Mounds,EFMO41,0,May 25 2017,Hardwood,10
Effigy Mounds,EFMO41,0,May 25 2017,Total,10
Effigy Mounds,EFMO41,1,May 26 2022,Hardwood,10
Effigy Mounds,EFMO41,1,May 30 2009,Hardwood,5
Effigy Mounds,EFMO42,0,May 25 2017,Hardwood,9
Effigy Mounds,EFMO42,0,May 25 2017,Total,9
Effigy Mounds,EFMO42,1,Jun  1 2013,Hardwood,3
Effigy Mounds,EFMO42,1,May 24 2022,Hardwood,13
Effigy Mounds,EFMO42,1,May 29 2009,Hardwood,13
Effigy Mounds,EFMO42,1,May 30 2009,Hardwood,14
Effigy Mounds,EFMO43,0,May 25 2017,Hardwood,13
Effigy Mounds,EFMO43,0,May 25 2017,Total,13
Effigy Mounds,EFMO43,1,Jun  2 2013,Hardwood,5
Effigy Mounds,EFMO43,1,May 24 2022,Hardwood,11
Effigy Mounds,EFMO43,1,May 30 2009,Hardwood,7
Effigy Mounds,EFMO44,0,May 25 2017,Hardwood,9
Effigy Mounds,EFMO44,0,May 25 2017,Total,9
Effigy Mounds,EFMO44,1,Jun  2 2013,Hardwood,7
Effigy Mounds,EFMO44,1,May 24 2022,Hardwood,10
Effigy Mounds,EFMO44,1,May 30 2009,Hardwood,10
Effigy Mounds,EFMO45,0,May 25 2017,Total,0
Effigy Mounds,EFMO45,1,May 23 2022,Hardwood,3
Effigy Mounds,EFMO46,0,May 25 2017,Hardwood,12
Effigy Mounds,EFMO46,0,May 25 2017,Total,12
Effigy Mounds,EFMO46,1,Jun  2 2013,Hardwood,5
Effigy Mounds,EFMO46,1,May 23 2022,Hardwood,13
Effigy Mounds,EFMO46,1,May 30 2009,Hardwood,14
Effigy Mounds,EFMO47,0,May 25 2017,Hardwood,9
Effigy Mounds,EFMO47,0,May 25 2017,Total,9
Effigy Mounds,EFMO47,1,Jun  2 2013,Hardwood,4
Effigy Mounds,EFMO47,1,May 23 2022,Hardwood,17
Effigy Mounds,EFMO47,1,May 30 2009,Hardwood,11
Effigy Mounds,EFMO5,0,May 24 2017,Hardwood,6
Effigy Mounds,EFMO5,0,May 24 2017,Total,6
Effigy Mounds,EFMO5,1,Jun  1 2009,Hardwood,7
Effigy Mounds,EFMO5,1,May 26 2022,Hardwood,6
Effigy Mounds,EFMO5,1,May 31 2013,Hardwood,7
Effigy Mounds,EFMO52,1,May 30 2009,Hardwood,12
Effigy Mounds,EFMO6,0,May 24 2017,Hardwood,11
Effigy Mounds,EFMO6,0,May 24 2017,Total,11
Effigy Mounds,EFMO8,0,May 24 2017,Hardwood,3
Effigy Mounds,EFMO8,0,May 24 2017,Total,3
Effigy Mounds,EFMO8,1,May 25 2022,Hardwood,4
Effigy Mounds,EFMO8,1,May 29 2009,Hardwood,7
Effigy Mounds,EFMO8,1,May 29 2013,Hardwood,8
Effigy Mounds,EFMO9,0,May 24 2017,Hardwood,9
Effigy Mounds,EFMO9,0,May 24 2017,Total,9
Effigy Mounds,EFMO9,1,May 25 2022,Hardwood,7
Effigy Mounds,EFMO9,1,May 29 2009,Hardwood,14
Effigy Mounds,EFMO9,1,May 29 2013,Hardwood,7
George Washington Carver,GWCA1,1,Jun  6 2012,Hardwood,11
George Washington Carver,GWCA1,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA1,1,Jun 12 2020,Hardwood,9
George Washington Carver,GWCA1,1,May 18 2016,Conifer,0
George Washington Carver,GWCA1,1,May 18 2016,Hardwood,9
George Washington Carver,GWCA1,1,May 18 2016,Total,9
George Washington Carver,GWCA1,1,May 28 2008,Hardwood,6
George Washington Carver,GWCA10,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA10,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA10,1,May 18 2016,Total,0
George Washington Carver,GWCA11,1,Jun  6 2012,Hardwood,15
George Washington Carver,GWCA11,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA11,1,Jun 12 2020,Hardwood,9
George Washington Carver,GWCA11,1,May 18 2016,Hardwood,10
George Washington Carver,GWCA11,1,May 18 2016,Total,10
George Washington Carver,GWCA11,1,May 28 2008,Hardwood,12
George Washington Carver,GWCA12,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA12,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA12,1,May 18 2016,Total,0
George Washington Carver,GWCA13,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA13,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA13,1,May 18 2016,Total,0
George Washington Carver,GWCA14,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA14,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA14,1,May 18 2016,Total,0
George Washington Carver,GWCA15,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA15,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA15,1,May 18 2016,Total,0
George Washington Carver,GWCA16,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA16,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA16,1,May 18 2016,Total,0
George Washington Carver,GWCA17,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA17,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA17,1,May 18 2016,Total,0
George Washington Carver,GWCA18,1,Jun  5 2012,Hardwood,8
George Washington Carver,GWCA18,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA18,1,Jun 12 2020,Hardwood,8
George Washington Carver,GWCA18,1,May 20 2016,Hardwood,10
George Washington Carver,GWCA18,1,May 20 2016,Total,10
George Washington Carver,GWCA18,1,May 28 2008,Hardwood,5
George Washington Carver,GWCA19,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA19,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA19,1,May 18 2016,Total,0
George Washington Carver,GWCA2,1,Jun  6 2012,Hardwood,9
George Washington Carver,GWCA2,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA2,1,Jun 12 2020,Hardwood,5
George Washington Carver,GWCA2,1,May 18 2016,Conifer,0
George Washington Carver,GWCA2,1,May 18 2016,Hardwood,3
George Washington Carver,GWCA2,1,May 18 2016,Total,3
George Washington Carver,GWCA20,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA20,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA20,1,May 18 2016,Total,0
George Washington Carver,GWCA21,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA21,1,Jun 10 2020,Hardwood,3
George Washington Carver,GWCA21,1,May 18 2016,Hardwood,7
George Washington Carver,GWCA21,1,May 18 2016,Total,7
George Washington Carver,GWCA21,1,May 28 2008,Hardwood,2
George Washington Carver,GWCA22,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA22,1,Jun 10 2020,Hardwood,3
George Washington Carver,GWCA22,1,May 18 2016,Hardwood,7
George Washington Carver,GWCA22,1,May 18 2016,Total,7
George Washington Carver,GWCA23,1,Jun  4 2012,Hardwood,18
George Washington Carver,GWCA23,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA23,1,Jun 12 2020,Hardwood,7
George Washington Carver,GWCA23,1,May 20 2016,Hardwood,12
George Washington Carver,GWCA23,1,May 20 2016,Total,12
George Washington Carver,GWCA23,1,May 28 2008,Hardwood,10
George Washington Carver,GWCA24,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA24,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA24,1,May 18 2016,Total,0
George Washington Carver,GWCA25,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA25,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA25,1,May 18 2016,Total,0
George Washington Carver,GWCA26,1,Jun  6 2012,Hardwood,11
George Washington Carver,GWCA26,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA26,1,Jun 11 2020,Hardwood,8
George Washington Carver,GWCA26,1,May 18 2016,Hardwood,10
George Washington Carver,GWCA26,1,May 18 2016,Total,10
George Washington Carver,GWCA26,1,May 29 2008,Hardwood,14
George Washington Carver,GWCA27,1,Jun  6 2012,Hardwood,12
George Washington Carver,GWCA27,1,Jun  9 2016,Hardwood,8
George Washington Carver,GWCA27,1,Jun  9 2016,Total,8
George Washington Carver,GWCA27,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA27,1,Jun 11 2020,Hardwood,13
George Washington Carver,GWCA27,1,May 29 2008,Hardwood,7
George Washington Carver,GWCA28,1,Jun  4 2012,Hardwood,9
George Washington Carver,GWCA28,1,Jun 12 2020,Conifer,0
George Washington Carver,GWCA28,1,Jun 12 2020,Hardwood,12
George Washington Carver,GWCA28,1,May 20 2016,Hardwood,4
George Washington Carver,GWCA28,1,May 20 2016,Total,4
George Washington Carver,GWCA28,1,May 28 2008,Hardwood,8
George Washington Carver,GWCA29,1,Jun  5 2012,Conifer,1
George Washington Carver,GWCA29,1,Jun  5 2012,Hardwood,7
George Washington Carver,GWCA29,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA29,1,Jun 10 2020,Hardwood,7
George Washington Carver,GWCA29,1,May 20 2016,Hardwood,7
George Washington Carver,GWCA29,1,May 20 2016,Total,7
George Washington Carver,GWCA29,1,May 28 2008,Hardwood,3
George Washington Carver,GWCA3,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA3,1,Jun 10 2020,Hardwood,0
George Washington Carver,GWCA3,1,May 18 2016,Total,0
George Washington Carver,GWCA30,1,Jun  5 2012,Hardwood,15
George Washington Carver,GWCA30,1,Jun 10 2020,Conifer,0
George Washington Carver,GWCA30,1,Jun 10 2020,Hardwood,10
George Washington Carver,GWCA30,1,May 20 2016,Hardwood,8
George Washington Carver,GWCA30,1,May 20 2016,Total,8
George Washington Carver,GWCA30,1,May 28 2008,Hardwood,7
George Washington Carver,GWCA31,1,Jun  9 2020,Conifer,0
George Washington Carver,GWCA31,1,Jun  9 2020,Hardwood,0
George Washington Carver,GWCA31,1,May 18 2016,Total,0
George Washington Carver,GWCA32,1,Jun  6 2012,Hardwood,3
George Washington Carver,GWCA32,1,Jun  8 2020,Conifer,0
George Washington Carver,GWCA32,1,Jun  8 2020,Hardwood,0
George Washington Carver,GWCA32,1,May 18 2016,Hardwood,1
George Washington Carver,GWCA32,1,May 18 2016,Total,1
George Washington Carver,GWCA33,1,Jun  6 2012,Hardwood,11
George Washington Carver,GWCA33,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA33,1,Jun 11 2020,Hardwood,13
George Washington Carver,GWCA33,1,May 20 2016,Hardwood,12
George Washington Carver,GWCA33,1,May 20 2016,Total,12
George Washington Carver,GWCA33,1,May 29 2008,Hardwood,13
George Washington Carver,GWCA34,1,Jun  4 2012,Hardwood,13
George Washington Carver,GWCA34,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA34,1,Jun 11 2020,Hardwood,7
George Washington Carver,GWCA34,1,May 20 2016,Hardwood,10
George Washington Carver,GWCA34,1,May 20 2016,Total,10
George Washington Carver,GWCA34,1,May 27 2008,Hardwood,9
George Washington Carver,GWCA35,1,Jun  4 2012,Hardwood,3
George Washington Carver,GWCA35,1,Jun 11 2020,Conifer,0
George Washington Carver,GWCA35,1,Jun 11 2020,Hardwood,6
